//ID	日付	時刻	緯度	経度	速度(km/s)	高度
482	2018/1/11	15-36-59	35.26.27.102	136.38.19.794	44	16
483	2018/1/11	15-37-00	35.26.26.700	136.38.19.800	44.6	16
484	2018/1/11	15-37-01	35.26.26.292	136.38.19.800	45.4	16
485	2018/1/11	15-37-02	35.26.25.884	136.38.19.806	45.8	16
486	2018/1/11	15-37-03	35.26.25.464	136.38.19.818	46.1	16
487	2018/1/11	15-37-04	35.26.25.044	136.38.19.824	46.4	16
488	2018/1/11	15-37-05	35.26.24.624	136.38.19.836	47	17
489	2018/1/11	15-37-06	35.26.24.198	136.38.19.848	47.3	17
490	2018/1/11	15-37-07	35.26.23.766	136.38.19.860	47.5	17
491	2018/1/11	15-37-08	35.26.23.340	136.38.19.872	47.7	17
492	2018/1/11	15-37-09	35.26.22.908	136.38.19.878	47.7	17
493	2018/1/11	15-37-10	35.26.22.476	136.38.19.890	47.5	17
494	2018/1/11	15-37-11	35.26.22.044	136.38.19.902	47.2	17
495	2018/1/11	15-37-12	35.26.21.618	136.38.19.914	46.9	17
496	2018/1/11	15-37-13	35.26.21.198	136.38.19.920	46.7	17
497	2018/1/11	15-37-14	35.26.20.778	136.38.19.932	46.2	17
498	2018/1/11	15-37-15	35.26.20.358	136.38.19.938	46.8	17
499	2018/1/11	15-37-16	35.26.19.920	136.38.19.944	49.8	17
500	2018/1/11	15-37-17	35.26.19.434	136.38.19.950	57.2	17
501	2018/1/11	15-37-18	35.26.18.876	136.38.19.956	65.3	17
502	2018/1/11	15-37-19	35.26.18.246	136.38.19.968	73.59	17
503	2018/1/11	15-37-20	35.26.17.544	136.38.19.980	81.2	17
504	2018/1/11	15-37-21	35.26.16.776	136.38.19.992	87.8	17
505	2018/1/11	15-37-22	35.26.15.954	136.38.19.998	93.2	17
506	2018/1/11	15-37-23	35.26.15.096	136.38.20.016	95.8	17
507	2018/1/11	15-37-24	35.26.14.238	136.38.20.034	94.5	17
508	2018/1/11	15-37-25	35.26.13.386	136.38.20.052	92.4	17
509	2018/1/11	15-37-26	35.26.12.558	136.38.20.076	90.6	17
510	2018/1/11	15-37-27	35.26.11.742	136.38.20.094	88.8	17
511	2018/1/11	15-37-28	35.26.10.950	136.38.20.106	86.7	17
512	2018/1/11	15-37-29	35.26.10.176	136.38.20.118	84.8	17
513	2018/1/11	15-37-30	35.26.09.426	136.38.20.130	80.8	17
514	2018/1/11	15-37-31	35.26.08.724	136.38.20.136	73.9	17
515	2018/1/11	15-37-32	35.26.08.106	136.38.20.148	63.1	17
516	2018/1/11	15-37-33	35.26.07.590	136.38.20.160	52.4	17
517	2018/1/11	15-37-34	35.26.07.140	136.38.20.178	47.6	17
518	2018/1/11	15-37-35	35.26.06.714	136.38.20.190	46.3	17
519	2018/1/11	15-37-36	35.26.06.306	136.38.20.208	45.4	17
520	2018/1/11	15-37-37	35.26.05.904	136.38.20.220	44.2	17
521	2018/1/11	15-37-38	35.26.05.514	136.38.20.238	42.9	17
522	2018/1/11	15-37-39	35.26.05.130	136.38.20.256	41.6	17
523	2018/1/11	15-37-40	35.26.04.764	136.38.20.268	40.4	17
524	2018/1/11	15-37-41	35.26.04.410	136.38.20.274	39	17
525	2018/1/11	15-37-42	35.26.04.062	136.38.20.286	38	17
526	2018/1/11	15-37-43	35.26.03.732	136.38.20.286	36.4	17
527	2018/1/11	15-37-44	35.26.03.414	136.38.20.292	34.9	17
528	2018/1/11	15-37-45	35.26.03.108	136.38.20.292	33.6	17
529	2018/1/11	15-37-46	35.26.02.814	136.38.20.292	32.4	17
530	2018/1/11	15-37-47	35.26.02.526	136.38.20.298	31.2	17
531	2018/1/11	15-37-48	35.26.02.256	136.38.20.298	30	17
532	2018/1/11	15-37-49	35.26.01.992	136.38.20.304	28.8	17
533	2018/1/11	15-37-50	35.26.01.740	136.38.20.310	27.6	17
534	2018/1/11	15-37-51	35.26.01.500	136.38.20.310	26.2	17
535	2018/1/11	15-37-52	35.26.01.284	136.38.20.316	22.4	17
536	2018/1/11	15-37-53	35.26.01.104	136.38.20.316	18.1	17
537	2018/1/11	15-37-54	35.26.00.960	136.38.20.316	15.7	17
538	2018/1/11	15-37-55	35.26.00.828	136.38.20.322	13.8	17
539	2018/1/11	15-37-56	35.26.00.726	136.38.20.322	10.19	17
540	2018/1/11	15-37-57	35.26.00.660	136.38.20.322	6	17
541	2018/1/11	15-37-58	35.26.00.618	136.38.20.322	4.5	17
542	2018/1/11	15-37-59	35.26.00.570	136.38.20.328	6.5	17
543	2018/1/11	15-38-00	35.26.00.498	136.38.20.328	10.6	17
544	2018/1/11	15-38-01	35.26.00.390	136.38.20.328	14	17
545	2018/1/11	15-38-02	35.26.00.258	136.38.20.328	15.7	17
546	2018/1/11	15-38-03	35.26.00.126	136.38.20.334	15	18
547	2018/1/11	15-38-04	35.26.00.006	136.38.20.370	13.1	17
548	2018/1/11	15-38-05	35.25.59.928	136.38.20.460	13	18
549	2018/1/11	15-38-06	35.25.59.886	136.38.20.604	15.3	18
550	2018/1/11	15-38-07	35.25.59.880	136.38.20.790	19	18
551	2018/1/11	15-38-08	35.25.59.886	136.38.21.018	21.9	18
552	2018/1/11	15-38-09	35.25.59.892	136.38.21.276	24.4	17
553	2018/1/11	15-38-10	35.25.59.898	136.38.21.564	26.7	17
554	2018/1/11	15-38-11	35.25.59.904	136.38.21.870	28.9	17
555	2018/1/11	15-38-12	35.25.59.910	136.38.22.206	30.8	17
556	2018/1/11	15-38-13	35.25.59.916	136.38.22.554	32.4	18
557	2018/1/11	15-38-14	35.25.59.928	136.38.22.926	34.2	18
558	2018/1/11	15-38-15	35.25.59.934	136.38.23.316	36	18
559	2018/1/11	15-38-16	35.25.59.940	136.38.23.724	37.7	18
560	2018/1/11	15-38-17	35.25.59.952	136.38.24.156	39.4	18
561	2018/1/11	15-38-18	35.25.59.958	136.38.24.600	41	18
562	2018/1/11	15-38-19	35.25.59.964	136.38.25.062	42.3	18
563	2018/1/11	15-38-20	35.25.59.976	136.38.25.542	43.4	18
564	2018/1/11	15-38-21	35.25.59.982	136.38.26.028	44.6	18
565	2018/1/11	15-38-22	35.25.59.988	136.38.26.532	45.7	18
566	2018/1/11	15-38-23	35.25.59.994	136.38.27.042	46.5	18
567	2018/1/11	15-38-24	35.25.59.994	136.38.27.564	47.2	18
568	2018/1/11	15-38-25	35.25.59.994	136.38.28.092	47.9	18
569	2018/1/11	15-38-26	35.25.59.988	136.38.28.626	48.5	18
570	2018/1/11	15-38-27	35.25.59.994	136.38.29.166	48.8	18
571	2018/1/11	15-38-28	35.25.59.994	136.38.29.706	49	18
572	2018/1/11	15-38-29	35.26.00.006	136.38.30.252	49.6	18
573	2018/1/11	15-38-30	35.26.00.018	136.38.30.804	50	18
574	2018/1/11	15-38-31	35.26.00.030	136.38.31.356	49.7	18
575	2018/1/11	15-38-32	35.26.00.036	136.38.31.902	49	18
576	2018/1/11	15-38-33	35.26.00.048	136.38.32.442	48.7	18
577	2018/1/11	15-38-34	35.26.00.054	136.38.32.988	49.1	18
578	2018/1/11	15-38-35	35.26.00.060	136.38.33.534	49.7	18
579	2018/1/11	15-38-36	35.26.00.072	136.38.34.086	50.3	18
580	2018/1/11	15-38-37	35.26.00.078	136.38.34.644	50.8	18
581	2018/1/11	15-38-38	35.26.00.084	136.38.35.208	50.8	18
582	2018/1/11	15-38-39	35.26.00.090	136.38.35.766	50.1	18
583	2018/1/11	15-38-40	35.26.00.102	136.38.36.312	48.8	18
584	2018/1/11	15-38-41	35.26.00.108	136.38.36.840	47.5	18
585	2018/1/11	15-38-42	35.26.00.114	136.38.37.362	46.1	18
586	2018/1/11	15-38-43	35.26.00.120	136.38.37.860	44.8	18
587	2018/1/11	15-38-44	35.26.00.132	136.38.38.346	43.5	18
588	2018/1/11	15-38-45	35.26.00.138	136.38.38.820	42.1	19
589	2018/1/11	15-38-46	35.26.00.144	136.38.39.276	40.4	19
590	2018/1/11	15-38-47	35.26.00.150	136.38.39.714	39	19
591	2018/1/11	15-38-48	35.26.00.156	136.38.40.140	38.5	19
592	2018/1/11	15-38-49	35.26.00.162	136.38.40.560	38.1	19
593	2018/1/11	15-38-50	35.26.00.168	136.38.40.974	37.2	19
594	2018/1/11	15-38-51	35.26.00.174	136.38.41.382	36.6	19
595	2018/1/11	15-38-52	35.26.00.180	136.38.41.784	36.4	19
596	2018/1/11	15-38-53	35.26.00.186	136.38.42.180	35.9	19
597	2018/1/11	15-38-54	35.26.00.204	136.38.42.570	35.29	19
598	2018/1/11	15-38-55	35.26.00.228	136.38.42.948	33.9	19
599	2018/1/11	15-38-56	35.26.00.258	136.38.43.302	30.9	18
600	2018/1/11	15-38-57	35.26.00.282	136.38.43.614	26.4	18
601	2018/1/11	15-38-58	35.26.00.300	136.38.43.878	21.4	18
602	2018/1/11	15-38-59	35.26.00.306	136.38.44.082	16.5	18
603	2018/1/11	15-39-00	35.26.00.312	136.38.44.238	12.9	18
604	2018/1/11	15-39-01	35.26.00.312	136.38.44.364	10.3	18
605	2018/1/11	15-39-02	35.26.00.312	136.38.44.454	6.9	18
606	2018/1/11	15-39-03	35.26.00.318	136.38.44.508	3.9	18
607	2018/1/11	15-39-04	35.26.00.318	136.38.44.538	2.1	18
608	2018/1/11	15-39-05	35.26.00.318	136.38.44.550	1.3	18
609	2018/1/11	15-39-06	35.26.00.318	136.38.44.550	0.2	18
610	2018/1/11	15-39-07	35.26.00.324	136.38.44.550	0.1	18
611	2018/1/11	15-39-08	35.26.00.324	136.38.44.544	0.1	18
612	2018/1/11	15-39-09	35.26.00.324	136.38.44.538	0.2	18
613	2018/1/11	15-39-10	35.26.00.324	136.38.44.538	0.1	18
614	2018/1/11	15-39-11	35.26.00.324	136.38.44.532	0.2	18
615	2018/1/11	15-39-12	35.26.00.324	136.38.44.532	0.1	18
616	2018/1/11	15-39-13	35.26.00.330	136.38.44.526	0.2	18
617	2018/1/11	15-39-14	35.26.00.330	136.38.44.520	0.2	18
618	2018/1/11	15-39-15	35.26.00.330	136.38.44.520	0.2	18
619	2018/1/11	15-39-16	35.26.00.330	136.38.44.514	0.2	18
620	2018/1/11	15-39-17	35.26.00.330	136.38.44.514	0.1	18
621	2018/1/11	15-39-18	35.26.00.330	136.38.44.508	0.1	18
622	2018/1/11	15-39-19	35.26.00.330	136.38.44.508	0.1	18
623	2018/1/11	15-39-20	35.26.00.330	136.38.44.502	0.1	18
624	2018/1/11	15-39-21	35.26.00.330	136.38.44.502	0.1	18
625	2018/1/11	15-39-22	35.26.00.336	136.38.44.502	0.5	18
626	2018/1/11	15-39-23	35.26.00.336	136.38.44.520	3.3	18
627	2018/1/11	15-39-24	35.26.00.336	136.38.44.580	7.8	18
628	2018/1/11	15-39-25	35.26.00.336	136.38.44.688	12.4	18
629	2018/1/11	15-39-26	35.26.00.336	136.38.44.844	16.5	18
630	2018/1/11	15-39-27	35.26.00.336	136.38.45.048	20.3	18
631	2018/1/11	15-39-28	35.26.00.336	136.38.45.288	23.2	18
632	2018/1/11	15-39-29	35.26.00.342	136.38.45.558	26.1	18
633	2018/1/11	15-39-30	35.26.00.342	136.38.45.864	29.2	18
634	2018/1/11	15-39-31	35.26.00.348	136.38.46.206	32.1	18
635	2018/1/11	15-39-32	35.26.00.354	136.38.46.572	34.4	18
636	2018/1/11	15-39-33	35.26.00.354	136.38.46.962	36.79	18
637	2018/1/11	15-39-34	35.26.00.348	136.38.47.382	39	18
638	2018/1/11	15-39-35	35.26.00.336	136.38.47.826	41	18
639	2018/1/11	15-39-36	35.26.00.324	136.38.48.282	42	18
640	2018/1/11	15-39-37	35.26.00.324	136.38.48.756	42.7	18
641	2018/1/11	15-39-38	35.26.00.324	136.38.49.230	43.6	18
642	2018/1/11	15-39-39	35.26.00.330	136.38.49.722	44.9	18
643	2018/1/11	15-39-40	35.26.00.342	136.38.50.226	46.3	18
644	2018/1/11	15-39-41	35.26.00.348	136.38.50.736	47	18
645	2018/1/11	15-39-42	35.26.00.354	136.38.51.258	47.4	18
646	2018/1/11	15-39-43	35.26.00.366	136.38.51.786	47.6	18
647	2018/1/11	15-39-44	35.26.00.372	136.38.52.308	47	18
648	2018/1/11	15-39-45	35.26.00.378	136.38.52.818	46.3	18
649	2018/1/11	15-39-46	35.26.00.384	136.38.53.328	45.9	18
650	2018/1/11	15-39-47	35.26.00.396	136.38.53.838	45.9	18
651	2018/1/11	15-39-48	35.26.00.408	136.38.54.342	46.2	18
652	2018/1/11	15-39-49	35.26.00.414	136.38.54.852	46.5	18
653	2018/1/11	15-39-50	35.26.00.420	136.38.55.368	47	19
654	2018/1/11	15-39-51	35.26.00.426	136.38.55.896	47.7	19
655	2018/1/11	15-39-52	35.26.00.432	136.38.56.424	48.4	19
656	2018/1/11	15-39-53	35.26.00.438	136.38.56.958	48.8	19
657	2018/1/11	15-39-54	35.26.00.438	136.38.57.498	49	19
658	2018/1/11	15-39-55	35.26.00.450	136.38.58.044	49	19
659	2018/1/11	15-39-56	35.26.00.456	136.38.58.584	49.1	19
660	2018/1/11	15-39-57	35.26.00.462	136.38.59.124	49.1	19
661	2018/1/11	15-39-58	35.26.00.468	136.38.59.664	48.8	19
662	2018/1/11	15-39-59	35.26.00.474	136.39.00.204	48.8	19
663	2018/1/11	15-40-00	35.26.00.486	136.39.00.744	49.1	19
664	2018/1/11	15-40-01	35.26.00.492	136.39.01.284	49.5	19
665	2018/1/11	15-40-02	35.26.00.498	136.39.01.836	49.9	18
666	2018/1/11	15-40-03	35.26.00.504	136.39.02.388	50.5	18
667	2018/1/11	15-40-04	35.26.00.510	136.39.02.946	51.2	18
668	2018/1/11	15-40-05	35.26.00.516	136.39.03.516	51.9	18
669	2018/1/11	15-40-06	35.26.00.522	136.39.04.092	52.4	18
670	2018/1/11	15-40-07	35.26.00.528	136.39.04.674	53	18
671	2018/1/11	15-40-08	35.26.00.528	136.39.05.262	53.4	18
672	2018/1/11	15-40-09	35.26.00.534	136.39.05.850	53.8	18
673	2018/1/11	15-40-10	35.26.00.540	136.39.06.444	54.1	18
674	2018/1/11	15-40-11	35.26.00.546	136.39.07.044	54.3	18
675	2018/1/11	15-40-12	35.26.00.552	136.39.07.644	54.4	18
676	2018/1/11	15-40-13	35.26.00.564	136.39.08.238	53.6	18
677	2018/1/11	15-40-14	35.26.00.570	136.39.08.826	52.8	18
678	2018/1/11	15-40-15	35.26.00.576	136.39.09.408	52.6	18
679	2018/1/11	15-40-16	35.26.00.582	136.39.09.984	52.7	18
680	2018/1/11	15-40-17	35.26.00.588	136.39.10.566	52.7	18
681	2018/1/11	15-40-18	35.26.00.594	136.39.11.148	52.9	18
682	2018/1/11	15-40-19	35.26.00.600	136.39.11.730	53.1	18
683	2018/1/11	15-40-20	35.26.00.600	136.39.12.318	53.1	18
684	2018/1/11	15-40-21	35.26.00.582	136.39.12.894	52.2	18
685	2018/1/11	15-40-22	35.26.00.516	136.39.13.458	51.1	18
686	2018/1/11	15-40-23	35.26.00.402	136.39.13.998	50.2	18
687	2018/1/11	15-40-24	35.26.00.246	136.39.14.508	49	18
688	2018/1/11	15-40-25	35.26.00.066	136.39.14.994	48.4	18
689	2018/1/11	15-40-26	35.25.59.856	136.39.15.456	47.6	18
690	2018/1/11	15-40-27	35.25.59.628	136.39.15.888	46.2	18
691	2018/1/11	15-40-28	35.25.59.370	136.39.16.284	45.1	18
692	2018/1/11	15-40-29	35.25.59.094	136.39.16.644	44.2	18
693	2018/1/11	15-40-30	35.25.58.800	136.39.16.968	43.8	18
694	2018/1/11	15-40-31	35.25.58.482	136.39.17.256	43.4	18
695	2018/1/11	15-40-32	35.25.58.152	136.39.17.514	43.5	18
696	2018/1/11	15-40-33	35.25.57.816	136.39.17.766	43.8	18
697	2018/1/11	15-40-34	35.25.57.480	136.39.18.012	43	18
698	2018/1/11	15-40-35	35.25.57.156	136.39.18.246	40.5	18
699	2018/1/11	15-40-36	35.25.56.856	136.39.18.468	36.4	18
700	2018/1/11	15-40-37	35.25.56.586	136.39.18.678	34.79	18
701	2018/1/11	15-40-38	35.25.56.334	136.39.18.906	35.1	18
702	2018/1/11	15-40-39	35.25.56.094	136.39.19.158	36.1	18
703	2018/1/11	15-40-40	35.25.55.866	136.39.19.446	36.1	18
704	2018/1/11	15-40-41	35.25.55.668	136.39.19.746	34.7	19
705	2018/1/11	15-40-42	35.25.55.500	136.39.20.070	35	19
706	2018/1/11	15-40-43	35.25.55.368	136.39.20.430	36.79	19
707	2018/1/11	15-40-44	35.25.55.254	136.39.20.814	38.29	19
708	2018/1/11	15-40-45	35.25.55.140	136.39.21.216	39.2	19
709	2018/1/11	15-40-46	35.25.55.026	136.39.21.630	39.7	19
710	2018/1/11	15-40-47	35.25.54.912	136.39.22.038	39.1	19
711	2018/1/11	15-40-48	35.25.54.798	136.39.22.446	38.79	19
712	2018/1/11	15-40-49	35.25.54.684	136.39.22.848	39.2	19
713	2018/1/11	15-40-50	35.25.54.576	136.39.23.256	39.4	19
714	2018/1/11	15-40-51	35.25.54.480	136.39.23.676	39.6	19
715	2018/1/11	15-40-52	35.25.54.420	136.39.24.114	40.9	19
716	2018/1/11	15-40-53	35.25.54.396	136.39.24.576	42.6	18
717	2018/1/11	15-40-54	35.25.54.390	136.39.25.050	44.3	18
718	2018/1/11	15-40-55	35.25.54.396	136.39.25.548	45.2	18
719	2018/1/11	15-40-56	35.25.54.402	136.39.26.046	45.5	18
720	2018/1/11	15-40-57	35.25.54.408	136.39.26.550	45.7	18
721	2018/1/11	15-40-58	35.25.54.414	136.39.27.060	46.5	18
722	2018/1/11	15-40-59	35.25.54.426	136.39.27.576	47.5	18
723	2018/1/11	15-41-00	35.25.54.432	136.39.28.104	48.6	18
724	2018/1/11	15-41-01	35.25.54.438	136.39.28.650	49.6	18
725	2018/1/11	15-41-02	35.25.54.450	136.39.29.202	50.7	18
726	2018/1/11	15-41-03	35.25.54.456	136.39.29.766	51.7	18
727	2018/1/11	15-41-04	35.25.54.462	136.39.30.342	52.7	18
728	2018/1/11	15-41-05	35.25.54.468	136.39.30.930	53.6	18
729	2018/1/11	15-41-06	35.25.54.474	136.39.31.524	54.4	18
730	2018/1/11	15-41-07	35.25.54.486	136.39.32.130	54.6	18
731	2018/1/11	15-41-08	35.25.54.492	136.39.32.730	54.8	18
732	2018/1/11	15-41-09	35.25.54.504	136.39.33.336	55	18
733	2018/1/11	15-41-10	35.25.54.510	136.39.33.942	55.1	18
734	2018/1/11	15-41-11	35.25.54.522	136.39.34.554	55.3	18
735	2018/1/11	15-41-12	35.25.54.528	136.39.35.166	55.6	18
736	2018/1/11	15-41-13	35.25.54.534	136.39.35.778	55.6	18
737	2018/1/11	15-41-14	35.25.54.546	136.39.36.390	55.6	18
738	2018/1/11	15-41-15	35.25.54.552	136.39.37.002	55.5	18
739	2018/1/11	15-41-16	35.25.54.558	136.39.37.614	55.4	18
740	2018/1/11	15-41-17	35.25.54.564	136.39.38.226	55.3	18
741	2018/1/11	15-41-18	35.25.54.576	136.39.38.832	55.2	18
742	2018/1/11	15-41-19	35.25.54.582	136.39.39.438	54.8	18
743	2018/1/11	15-41-20	35.25.54.594	136.39.40.038	54.5	18
744	2018/1/11	15-41-21	35.25.54.600	136.39.40.638	54.2	18
745	2018/1/11	15-41-22	35.25.54.612	136.39.41.232	53.9	18
746	2018/1/11	15-41-23	35.25.54.618	136.39.41.826	53.6	18
747	2018/1/11	15-41-24	35.25.54.624	136.39.42.414	53.4	18
748	2018/1/11	15-41-25	35.25.54.636	136.39.43.002	53.2	18
749	2018/1/11	15-41-26	35.25.54.642	136.39.43.590	53.1	18
750	2018/1/11	15-41-27	35.25.54.642	136.39.44.172	52.9	18
751	2018/1/11	15-41-28	35.25.54.648	136.39.44.754	52.8	18
752	2018/1/11	15-41-29	35.25.54.654	136.39.45.330	52.6	18
753	2018/1/11	15-41-30	35.25.54.660	136.39.45.912	52.5	18
754	2018/1/11	15-41-31	35.25.54.660	136.39.46.488	52.3	18
755	2018/1/11	15-41-32	35.25.54.660	136.39.47.058	52.1	18
756	2018/1/11	15-41-33	35.25.54.660	136.39.47.634	51.8	18
757	2018/1/11	15-41-34	35.25.54.666	136.39.48.180	48.2	18
758	2018/1/11	15-41-35	35.25.54.660	136.39.48.684	43.6	18
759	2018/1/11	15-41-36	35.25.54.654	136.39.49.152	41.9	18
760	2018/1/11	15-41-37	35.25.54.648	136.39.49.614	42	18
761	2018/1/11	15-41-38	35.25.54.642	136.39.50.076	43	18
762	2018/1/11	15-41-39	35.25.54.630	136.39.50.556	44.4	18
763	2018/1/11	15-41-40	35.25.54.624	136.39.51.048	45.5	18
764	2018/1/11	15-41-41	35.25.54.618	136.39.51.552	46.3	18
765	2018/1/11	15-41-42	35.25.54.612	136.39.52.068	46.9	18
766	2018/1/11	15-41-43	35.25.54.606	136.39.52.584	47.7	18
767	2018/1/11	15-41-44	35.25.54.588	136.39.53.112	48.3	18
768	2018/1/11	15-41-45	35.25.54.558	136.39.53.640	48.1	18
769	2018/1/11	15-41-46	35.25.54.528	136.39.54.162	47.1	18
770	2018/1/11	15-41-47	35.25.54.498	136.39.54.666	45.7	18
771	2018/1/11	15-41-48	35.25.54.474	136.39.55.164	44.9	18
772	2018/1/11	15-41-49	35.25.54.462	136.39.55.650	43.8	18
773	2018/1/11	15-41-50	35.25.54.462	136.39.56.124	42.6	18
774	2018/1/11	15-41-51	35.25.54.468	136.39.56.586	41.5	18
775	2018/1/11	15-41-52	35.25.54.474	136.39.57.036	40.4	18
776	2018/1/11	15-41-53	35.25.54.492	136.39.57.468	39.2	17
777	2018/1/11	15-41-54	35.25.54.522	136.39.57.894	38.29	17
778	2018/1/11	15-41-55	35.25.54.564	136.39.58.302	37.1	17
779	2018/1/11	15-41-56	35.25.54.606	136.39.58.698	36.1	17
780	2018/1/11	15-41-57	35.25.54.642	136.39.59.082	34.9	17
781	2018/1/11	15-41-58	35.25.54.666	136.39.59.460	33.9	17
782	2018/1/11	15-41-59	35.25.54.672	136.39.59.820	32.7	17
783	2018/1/11	15-42-00	35.25.54.678	136.40.00.168	31.4	17
784	2018/1/11	15-42-01	35.25.54.678	136.40.00.504	30.4	17
785	2018/1/11	15-42-02	35.25.54.678	136.40.00.828	29.3	17
786	2018/1/11	15-42-03	35.25.54.678	136.40.01.140	27.9	17
787	2018/1/11	15-42-04	35.25.54.678	136.40.01.428	24.9	17
788	2018/1/11	15-42-05	35.25.54.678	136.40.01.674	20.7	17
789	2018/1/11	15-42-06	35.25.54.684	136.40.01.866	15.8	17
790	2018/1/11	15-42-07	35.25.54.678	136.40.02.016	11.6	17
791	2018/1/11	15-42-08	35.25.54.678	136.40.02.112	7.3	17
792	2018/1/11	15-42-09	35.25.54.678	136.40.02.160	3.6	17
793	2018/1/11	15-42-10	35.25.54.684	136.40.02.184	1.5	17
794	2018/1/11	15-42-11	35.25.54.684	136.40.02.184	0.3	17
795	2018/1/11	15-42-12	35.25.54.684	136.40.02.178	0.1	17
796	2018/1/11	15-42-13	35.25.54.684	136.40.02.172	0.1	17
797	2018/1/11	15-42-14	35.25.54.690	136.40.02.160	0.1	17
798	2018/1/11	15-42-15	35.25.54.690	136.40.02.154	0.1	17
799	2018/1/11	15-42-16	35.25.54.690	136.40.02.148	0.1	17
800	2018/1/11	15-42-17	35.25.54.690	136.40.02.142	0.1	17
801	2018/1/11	15-42-18	35.25.54.696	136.40.02.136	0.1	17
802	2018/1/11	15-42-19	35.25.54.696	136.40.02.130	0.1	17
803	2018/1/11	15-42-20	35.25.54.696	136.40.02.124	0.1	17
804	2018/1/11	15-42-21	35.25.54.696	136.40.02.118	0.1	17
805	2018/1/11	15-42-22	35.25.54.696	136.40.02.112	0.1	17
806	2018/1/11	15-42-23	35.25.54.702	136.40.02.106	0.1	17
807	2018/1/11	15-42-24	35.25.54.702	136.40.02.106	0.1	17
808	2018/1/11	15-42-25	35.25.54.702	136.40.02.100	0.1	17
809	2018/1/11	15-42-26	35.25.54.702	136.40.02.094	0.1	17
810	2018/1/11	15-42-27	35.25.54.702	136.40.02.088	0.1	17
811	2018/1/11	15-42-28	35.25.54.702	136.40.02.088	0.1	17
812	2018/1/11	15-42-29	35.25.54.702	136.40.02.082	0.1	17
813	2018/1/11	15-42-30	35.25.54.702	136.40.02.076	0.1	18
814	2018/1/11	15-42-31	35.25.54.702	136.40.02.076	0.1	18
815	2018/1/11	15-42-32	35.25.54.702	136.40.02.070	0.1	18
816	2018/1/11	15-42-33	35.25.54.702	136.40.02.064	0.1	18
817	2018/1/11	15-42-34	35.25.54.702	136.40.02.064	0.1	18
818	2018/1/11	15-42-35	35.25.54.708	136.40.02.058	0.1	18
819	2018/1/11	15-42-36	35.25.54.708	136.40.02.058	0.1	18
820	2018/1/11	15-42-37	35.25.54.708	136.40.02.058	1	18
821	2018/1/11	15-42-38	35.25.54.708	136.40.02.088	4.7	18
822	2018/1/11	15-42-39	35.25.54.708	136.40.02.160	9.1	18
823	2018/1/11	15-42-40	35.25.54.708	136.40.02.274	11.6	18
824	2018/1/11	15-42-41	35.25.54.726	136.40.02.400	11.9	18
825	2018/1/11	15-42-42	35.25.54.774	136.40.02.508	11.2	18
826	2018/1/11	15-42-43	35.25.54.852	136.40.02.586	11.5	18
827	2018/1/11	15-42-44	35.25.54.966	136.40.02.610	14.1	18
828	2018/1/11	15-42-45	35.25.55.110	136.40.02.592	17.2	18
829	2018/1/11	15-42-46	35.25.55.278	136.40.02.550	20.9	18
830	2018/1/11	15-42-47	35.25.55.482	136.40.02.496	24.2	18
831	2018/1/11	15-42-48	35.25.55.710	136.40.02.436	26.3	18
832	2018/1/11	15-42-49	35.25.55.956	136.40.02.382	28.3	18
833	2018/1/11	15-42-50	35.25.56.220	136.40.02.334	30.6	19
834	2018/1/11	15-42-51	35.25.56.508	136.40.02.286	32.6	19
835	2018/1/11	15-42-52	35.25.56.808	136.40.02.232	34.4	19
836	2018/1/11	15-42-53	35.25.57.126	136.40.02.172	36.2	19
837	2018/1/11	15-42-54	35.25.57.462	136.40.02.094	38.1	19
838	2018/1/11	15-42-55	35.25.57.816	136.40.02.022	39.79	19
839	2018/1/11	15-42-56	35.25.58.188	136.40.01.956	41.4	19
840	2018/1/11	15-42-57	35.25.58.566	136.40.01.896	42.5	18
841	2018/1/11	15-42-58	35.25.58.962	136.40.01.842	43.9	18
842	2018/1/11	15-42-59	35.25.59.370	136.40.01.788	45.2	18
843	2018/1/11	15-43-00	35.25.59.784	136.40.01.740	46.4	18
844	2018/1/11	15-43-01	35.26.00.210	136.40.01.692	46.9	18
845	2018/1/11	15-43-02	35.26.00.636	136.40.01.644	47.2	18
846	2018/1/11	15-43-03	35.26.01.068	136.40.01.596	47	18
847	2018/1/11	15-43-04	35.26.01.494	136.40.01.554	46.8	18
848	2018/1/11	15-43-05	35.26.01.920	136.40.01.524	47	18
849	2018/1/11	15-43-06	35.26.02.352	136.40.01.512	47.5	18
850	2018/1/11	15-43-07	35.26.02.790	136.40.01.500	48.3	18
851	2018/1/11	15-43-08	35.26.03.234	136.40.01.488	49	18
852	2018/1/11	15-43-09	35.26.03.684	136.40.01.488	49.5	18
853	2018/1/11	15-43-10	35.26.04.134	136.40.01.482	49.7	18
854	2018/1/11	15-43-11	35.26.04.584	136.40.01.476	49.1	18
855	2018/1/11	15-43-12	35.26.05.028	136.40.01.476	47.4	18
856	2018/1/11	15-43-13	35.26.05.454	136.40.01.470	46.4	18
857	2018/1/11	15-43-14	35.26.05.874	136.40.01.470	46.4	18
858	2018/1/11	15-43-15	35.26.06.300	136.40.01.470	46.4	18
859	2018/1/11	15-43-16	35.26.06.720	136.40.01.464	46.6	18
860	2018/1/11	15-43-17	35.26.07.146	136.40.01.464	47	18
