ID	時間	x	y	status
196	15:49:59	-42	336	0
197	15:49:59	817	400	0
198	15:49:59	-36	417	0
199	15:50:00	531	414	0
200	15:50:00	322	449	0
201	15:50:00	989	441	0
202	15:50:00	800	341	0
203	15:50:00	27	369	0
204	15:50:00	20	454	0
205	15:50:00	1082	250	0
206	15:50:00	345	359	0
207	15:50:00	328	374	0
208	15:50:01	200	371	0
209	15:50:01	-127	385	0
210	15:50:01	317	272	0
211	15:50:01	937	382	0
212	15:50:01	-217	311	0
213	15:50:01	-520	255	0
214	15:50:01	700	273	0
215	15:50:01	715	260	0
216	15:50:02	505	323	0
217	15:50:02	268	319	0
218	15:50:02	-325	300	0
219	15:50:02	-467	385	0
220	15:50:02	-7	389	1
221	15:50:02	984	326	2
222	15:50:03	730	344	2
223	15:50:03	776	331	2
224	15:50:03	760	302	3
225	15:50:03	632	341	0
226	15:50:03	494	357	0
227	15:50:03	699	342	0
228	15:50:03	435	395	0
229	15:50:04	188	515	0
230	15:50:04	202	493	0
231	15:50:04	25	520	0
232	15:50:04	-284	436	1
233	15:50:04	508	357	2
234	15:50:04	107	246	2
235	15:50:04	326	290	2
236	15:50:04	528	326	2
237	15:50:04	490	481	2
238	15:50:05	538	464	3
239	15:50:05	227	461	0
240	15:50:05	565	366	0
241	15:50:05	1322	251	0
242	15:50:05	892	592	0
243	15:50:05	816	467	0
244	15:50:05	913	395	0
245	15:50:05	582	392	0
246	15:50:06	-25	431	0
247	15:50:06	523	410	0
248	15:50:06	164	468	0
249	15:50:06	-134	391	0
250	15:50:06	249	420	0
251	15:50:06	-208	284	1
252	15:50:06	378	498	2
253	15:50:07	-194	355	2
254	15:50:07	159	270	2
255	15:50:07	114	190	2
256	15:50:07	115	249	2
257	15:50:07	231	360	2
258	15:50:07	-57	337	2
259	15:50:07	958	542	2
260	15:50:07	611	410	2
261	15:50:08	651	337	2
262	15:50:08	1001	330	3
263	15:50:08	788	365	0
264	15:50:08	561	394	0
265	15:50:08	86	263	0
266	15:50:08	778	398	0
267	15:50:08	224	413	0
268	15:50:08	305	416	0
269	15:50:09	1100	414	0
270	15:50:09	680	393	0
271	15:50:09	701	445	0
272	15:50:09	1260	312	0
273	15:50:09	1775	422	0
274	15:50:09	1133	492	0
275	15:50:09	284	374	0
276	15:50:09	198	337	0
277	15:50:10	355	416	0
278	15:50:10	185	434	0
279	15:50:10	388	371	0
280	15:50:10	1045	430	0
281	15:50:10	558	306	0
282	15:50:10	1148	370	0
283	15:50:10	1452	337	0
284	15:50:10	1223	424	0
285	15:50:11	1300	353	0
286	15:50:11	1358	365	0
287	15:50:11	1355	421	0
288	15:50:11	1178	488	0
289	15:50:11	651	506	0
290	15:50:11	1772	385	0
291	15:50:11	1819	385	0
292	15:50:12	-113	407	0
293	15:50:12	467	517	0
294	15:50:12	416	350	0
295	15:50:12	839	381	0
296	15:50:12	582	505	0
297	15:50:12	371	512	0
298	15:50:13	536	379	0
299	15:50:13	556	503	0
300	15:50:13	503	253	0
301	15:50:13	781	469	0
302	15:50:13	503	238	0
303	15:50:13	1100	362	0
304	15:50:13	573	315	0
305	15:50:14	190	371	0
306	15:50:14	392	477	0
307	15:50:14	130	391	0
308	15:50:14	598	456	0
309	15:50:14	173	419	0
310	15:50:14	417	468	0
311	15:50:15	-178	466	0
312	15:50:15	-248	425	0
313	15:50:15	899	383	0
314	15:50:15	147	433	0
315	15:50:15	122	290	0
316	15:50:15	310	339	0
317	15:50:15	120	396	0
318	15:50:16	675	380	0
319	15:50:16	896	288	0
320	15:50:16	-124	282	0
321	15:50:16	45	310	0
322	15:50:16	147	388	1
323	15:50:16	3	336	2
324	15:50:17	380	349	2
325	15:50:17	844	380	2
326	15:50:17	231	374	2
327	15:50:17	332	379	2
328	15:50:17	1050	302	2
329	15:50:17	1074	242	3
330	15:50:17	731	392	0
331	15:50:17	-76	418	0
332	15:50:18	182	396	0
333	15:50:18	1102	323	0
334	15:50:18	1707	301	0
335	15:50:18	789	80	0
336	15:50:18	676	274	0
337	15:50:18	654	554	0
338	15:50:18	599	308	0
339	15:50:19	366	371	0
340	15:50:19	599	276	0
341	15:50:19	749	376	0
342	15:50:19	297	352	0
343	15:50:20	-375	398	0
344	15:50:20	-353	392	0
345	15:50:20	1	412	1
346	15:50:20	515	349	2
347	15:50:20	728	337	2
348	15:50:20	624	310	2
349	15:50:20	1276	411	3
350	15:50:20	505	438	0
351	15:50:20	650	345	0
352	15:50:21	698	376	0
353	15:50:21	173	403	0
354	15:50:21	533	414	0
355	15:50:21	580	416	0
356	15:50:21	408	377	0
357	15:50:21	1040	413	0
358	15:50:21	691	411	0
359	15:50:22	478	424	0
360	15:50:22	626	472	0
361	15:50:22	285	483	0
362	15:50:22	793	456	0
363	15:50:22	18	539	0
364	15:50:22	405	408	0
365	15:50:22	532	458	0
366	15:50:22	-110	415	0
367	15:50:22	798	378	0
368	15:50:23	787	391	0
369	15:50:23	1434	369	0
370	15:50:23	235	301	0
371	15:50:23	625	395	0
372	15:50:23	456	502	0
373	15:50:23	447	460	0
374	15:50:23	624	500	0
375	15:50:23	797	465	0
376	15:50:23	892	450	0
377	15:50:24	765	414	0
378	15:50:24	831	336	0
379	15:50:24	-369	373	0
380	15:50:24	135	386	0
381	15:50:24	113	380	0
382	15:50:24	374	347	0
383	15:50:24	232	368	0
384	15:50:25	722	366	0
385	15:50:25	153	308	0
386	15:50:25	607	323	0
387	15:50:25	-47	329	0
388	15:50:25	98	377	1
389	15:50:25	-508	358	2
390	15:50:25	-122	312	2
391	15:50:25	843	315	2
392	15:50:26	-4	350	2
393	15:50:26	-357	351	2
394	15:50:26	843	382	2
395	15:50:26	1169	443	2
396	15:50:26	1172	443	2
397	15:50:26	920	406	3
398	15:50:26	1064	394	0
399	15:50:26	893	475	0
400	15:50:27	936	429	0
401	15:50:27	1061	436	0
402	15:50:27	1069	414	0
403	15:50:27	1680	212	0
404	15:50:27	906	219	0
405	15:50:27	270	262	0
406	15:50:27	603	270	0
407	15:50:28	261	241	0
408	15:50:28	206	285	0
409	15:50:28	598	273	0
410	15:50:28	217	274	0
411	15:50:28	4	225	0
412	15:50:28	-256	375	1
413	15:50:28	-128	393	2
414	15:50:28	121	336	2
415	15:50:29	458	423	2
416	15:50:29	-174	360	2
417	15:50:29	61	328	2
418	15:50:29	134	392	2
419	15:50:29	130	357	2
420	15:50:29	276	287	2
421	15:50:29	25	263	2
422	15:50:29	656	248	2
423	15:50:30	547	357	2
424	15:50:30	515	374	2
425	15:50:30	370	355	3
426	15:50:30	382	347	0
427	15:50:30	254	357	0
428	15:50:30	601	443	0
429	15:50:30	357	309	0
430	15:50:30	483	291	0
431	15:50:30	134	352	0
432	15:50:31	176	335	0
433	15:50:31	216	331	0
434	15:50:31	476	366	0
435	15:50:31	-48	342	0
436	15:50:31	917	280	0
437	15:50:31	852	261	0
438	15:50:31	852	278	0
439	15:50:31	1060	270	0
440	15:50:32	824	283	0
441	15:50:32	826	287	0
442	15:50:32	385	379	0
443	15:50:32	531	441	0
444	15:50:32	-161	307	0
445	15:50:32	-400	394	0
446	15:50:32	-682	362	0
447	15:50:32	-395	376	1
448	15:50:32	-110	319	2
449	15:50:33	146	326	2
450	15:50:33	430	258	2
451	15:50:33	797	321	2
452	15:50:33	499	319	2
453	15:50:33	1052	295	3
454	15:50:33	463	252	0
455	15:50:33	747	231	0
456	15:50:34	978	259	0
457	15:50:34	477	407	0
458	15:50:34	470	307	0
459	15:50:34	499	309	0
460	15:50:34	528	382	0
461	15:50:34	701	307	0
462	15:50:34	795	290	0
463	15:50:34	411	322	0
464	15:50:35	922	305	0
465	15:50:35	600	343	0
466	15:50:35	1046	325	0
467	15:50:35	480	384	0
468	15:50:35	438	325	0
469	15:50:35	476	292	0
470	15:50:35	368	287	0
471	15:50:35	616	385	0
472	15:50:36	572	334	0
473	15:50:36	458	255	0
474	15:50:36	1008	290	0
475	15:50:36	660	262	0
476	15:50:36	-538	332	0
477	15:50:36	-412	336	0
478	15:50:36	-298	290	0
479	15:50:36	-542	385	1
480	15:50:37	-569	308	2
481	15:50:37	111	343	2
482	15:50:37	-394	330	2
483	15:50:37	920	360	2
484	15:50:37	98	347	2
485	15:50:37	1349	432	2
486	15:50:37	1635	463	2
487	15:50:37	1035	506	2
488	15:50:37	347	493	3
489	15:50:38	792	459	0
490	15:50:38	295	461	0
491	15:50:38	357	386	0
492	15:50:38	20	412	0
493	15:50:38	-730	427	0
494	15:50:38	-656	415	0
495	15:50:38	-675	430	1
496	15:50:39	78	414	2
497	15:50:39	103	358	2
498	15:50:39	532	403	2
499	15:50:39	377	351	2
500	15:50:39	337	312	2
501	15:50:39	595	383	3
502	15:50:39	509	330	0
503	15:50:39	489	334	0
504	15:50:40	756	248	0
505	15:50:40	973	241	0
506	15:50:40	211	201	0
507	15:50:40	253	267	0
508	15:50:40	715	262	0
509	15:50:40	926	250	0
510	15:50:40	894	214	0
511	15:50:40	488	264	0
512	15:50:41	490	323	0
513	15:50:41	494	379	0
514	15:50:41	-292	341	0
515	15:50:41	219	274	0
516	15:50:41	228	368	0
517	15:50:41	-230	297	1
518	15:50:42	131	390	2
519	15:50:42	243	374	2
520	15:50:42	299	335	2
521	15:50:42	507	319	2
522	15:50:42	343	297	2
523	15:50:42	418	268	2
524	15:50:42	418	305	3
525	15:50:42	611	364	0
526	15:50:42	443	289	0
527	15:50:43	825	325	0
528	15:50:43	115	310	0
529	15:50:43	618	314	0
530	15:50:43	630	319	0
531	15:50:43	70	333	0
532	15:50:43	-276	268	0
533	15:50:43	852	366	0
534	15:50:43	65	350	0
535	15:50:44	-136	376	0
536	15:50:44	-342	369	1
537	15:50:44	-287	362	2
538	15:50:44	-14	336	2
539	15:50:44	146	339	2
540	15:50:44	99	365	2
541	15:50:44	481	370	2
542	15:50:44	508	237	2
543	15:50:45	426	304	2
544	15:50:45	510	290	3
545	15:50:45	455	338	0
546	15:50:45	1028	324	0
547	15:50:45	649	329	0
548	15:50:45	172	317	0
549	15:50:45	351	246	0
550	15:50:45	714	249	0
551	15:50:46	705	285	0
552	15:50:46	152	265	0
553	15:50:46	190	248	0
554	15:50:46	416	308	0
555	15:50:46	-427	371	0
556	15:50:46	267	309	0
557	15:50:46	86	334	1
558	15:50:46	397	310	2
559	15:50:47	-300	364	2
560	15:50:47	21	311	2
561	15:50:47	198	286	2
562	15:50:47	15	298	2
563	15:50:47	282	232	2
564	15:50:47	4	319	2
565	15:50:47	-151	355	2
566	15:50:47	-253	330	2
567	15:50:48	106	321	2
568	15:50:48	20	350	2
569	15:50:48	279	327	2
570	15:50:48	202	344	2
571	15:50:48	-130	426	2
572	15:50:48	471	469	2
573	15:50:48	428	512	2
574	15:50:49	1440	417	2
575	15:50:49	1343	402	3
576	15:50:49	1396	449	0
577	15:50:49	655	437	0
578	15:50:49	1645	439	0
579	15:50:49	-43	561	0
580	15:50:49	881	271	0
581	15:50:49	108	406	0
582	15:50:50	525	346	0
583	15:50:50	489	314	0
